재활용센터명,재활용센터운영구분,소재지도로명주소,소재지지번주소,위도,경도,면적,설립년월,차량보유대수,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,애프터서비스정보,홈페이지주소,관리기관전화번호,관리기관명,데이터기준일자,
남부재활용센터,위탁,부산광역시 남구 홍곡로 26(감만동),부산광역시 남구 감만동 162-22,35.116389,129.082796,52,2010-01,1,가전제품,민간운영,051-644-8572,,00:00,24:00,00:00,24:00,,,,051-607-4451,부산광역시 남구청,2017-04-21,
서구재활용센터,직영,부산광역시 서구 충무대로 120,부산광역시 서구 암남동 95-19,35.081128,129.024747,184,1996-04,1,가구 가전,서구재활용센터,051-247-8777,배창호,09:00,18:00,09:00,18:00,,,,051-240-4452,부산광역시 서구청,2017-04-13,
스마일재활용센터,직영,부산광역시 서구 구덕로 151,부산광역시 서구 초장동 55-7,35.098025,129.020507,99,2009-06,1,가전,스마일재활용센터,051-248-4488,김만조,09:00,18:00,09:00,18:00,,,,051-240-4452,부산광역시 서구청,2017-04-13,
남부재활용센터,위탁,부산광역시 남구 홍곡로 26(감만동),부산광역시 남구 감만동 162-22,35.116389,129.082796,52,2010-01,1,가전제품,민간운영,051-644-8572,,00:00,24:00,00:00,24:00,,,,051-607-4451,부산광역시 남구청,2017-11-08,
사상구재활용센터,위탁,부산광역시 사상구 백양대로 858(모라동),부산광역시 사상구 모라동 1365-3,35.183069,128.989304,264,1995-03,1,"가구, 가전제품 등",오병선,051-315-3721,오병선,09:00,18:30,09:00,18:30,"매주일요일, 설·추석 공휴일",판매일로부터 6개월 이내 무상 수리,,051-310-4452,부산광역시 사상구청,2017-11-17,
모든재활용,위탁,부산광역시 수영구 수영로 646(광안동),,35.163563,129.114626,176,2017-12,1,가전 가구,모든재활용,051-624-7600,,08:00,20:00,00:00,00:00,"매주일요일, 공휴일",,,051-610-4455,부산광역시 수영구,2017-11-13,
용우재활용센터,위탁,부산광역시 수영구 광안로7번길 42(광안동),,35.159248,129.114866,150,2017-11,1,업소냉장고 온풍기,용우재활용센터,051-752-2781,,09:00,20:00,00:00,00:00,"매주일요일, 공휴일",,,051-610-4455,부산광역시 수영구,2017-11-13,
신수영재활용마트,위탁,부산광역시 수영구 연수로392번길 18(광안동),,35.168908,129.111596,198,2017-01,1,가전 가구,신수영재활용마트,051-753-8270,,09:00,18:00,00:00,00:00,"매주일요일, 공휴일",,,051-610-4455,부산광역시 수영구,2017-11-13,
부전식당용 중고마트,위탁,부산광역시 수영구 연수로 272(망미동),,35.173096,129.100453,66,2017-03,1,주방용품,부전식당용 중고마트,051-755-3250,,09:00,18:00,00:00,00:00,"매주일요일, 공휴일",,,051-610-4455,부산광역시 수영구,2017-11-13,
수영종합재활용센터,위탁,부산광역시 수영구 연수로 365(수영동),,35.171148,129.110318,132,2017-11,1,중고가전,수영종합재활용센터,051-753-4979,,09:00,19:00,00:00,00:00,"매주일요일, 공휴일",,,051-610-4455,부산광역시 수영구,2017-11-13,
수영구재활용센터,위탁,부산광역시 수영구 수영로741번길 12(수영동),,35.168180,129.122637,33,1998-05,1,중고가전,수영구재활용센터,051-756-0599,,09:00,18:00,00:00,00:00,"매주일요일, 공휴일",,,051-610-4455,부산광역시 수영구,2017-11-13,
"팔도중고가전,가구마트",위탁,부산광역시 수영구 수미로 62(수영동),,35.173332,129.117523,39,2017-11,1,가전 가구,"팔도중고가전,가구마트",051-753-3104,,09:00,18:00,00:00,00:00,"매주일요일, 공휴일",,,051-610-4455,부산광역시 수영구,2017-11-13,
강동구가전가구재활용센터,위탁,서울특별시 강동구 동남로 930,서울특별시 강동구 고덕동 302,37.5575849,127.1570666,1653,1995-05,6,중고가전가구 생활용품 판매,㈜리싸이클시티,02-427-8425,문대왕,09:00,19:00,09:00,19:00,"구정, 추석 당일만",3~6개월,rety.co.kr,02-3425-5880,강동구청 청소행정과,2017-05-16,
동래구 재활용센터,위탁,부산광역시 동래구 충렬대로202번길 33(수안동),부산광역시 동래구 수안동 2-7,35.201229,129.082110,231.4,1995-12,1,가구 및 가전제품,동래구 재활용센터,051-554-5088,유병선,09:00,18:00,00:00,00:00,매주 일요일 휴무,구입 후 1년간 A/S가능,해당없음,051-550-4451,동래구 청소과,2017-11-16,
사하구재활용센터,직영,부산광역시 사하구 낙동대로 641,부산광역시 사하구 하단동 845-52,35.1205400,128.9628840,865,1994-07,2,가전 가구 사무용품 등,사하구재활용센터,051-220-4452,이경훈,08:00,19:00,00:00,00:00,일요일 공휴일,,,051-220-4438,부산광역시 사하구청,2017-11-22,
해운대구자원재활용센터,직영,부산광역시 해운대구 석대천로118(반여동),부산광역시 해운대구 반여동 1502-77,35.130405,129.081486,6632,1998-12,2,"플라스틱,페트류,스티로폼,요구르트,등",해운대구청,051-749-5725,백선기,09:00,18:00,00:00,00:00,"토,일,공휴일",없음,없음,051-749-4452,해운대구청,2017-11-20,
강북구재활용센터,위탁,서울특별시 강북구 한천로 1108-1,서울특별시 강북구 수유동249-16,37.644510,127.021002,230.49,1999-12,2,세탁기/ 냉장고/ 가구 등,강북구재활용센터,02-987-8272,이수철,09:00,19:30,09:00,18:30,설/ 추석,판매일로부터 6개월이내 무상 수리,http://www.zungo.co.kr,02-901-6793,서울특별시 강북구청,2017-04-24,
관악구 재활용센터,위탁,서울특별시 관악구 남부순환로 1427,서울특별시 관악구 신림동 564-4,37.4811315,126.9071753,576.2,2012-03,2,가전제품+가전류,관악구 재활용센터,02-886-9113,이재호,09:00,19:00,09:00,18:00,설+추석연휴,가전제품 6개월 A/S,http://www.jungo.co.kr/south/ka2_center1_1.php,02-879-6213,서울특별시 관악구청,2017-04-26,
구로구 재활용센터,위탁,서울특별시 구로구 새말로48,서울특별시 구로구 구로동 557-11,37.503688,126.886038,660,2013-03,1,가전제품 가구,구로재활용센터,02-858-8272,김영순,09:00,19:00,10:00,17:00,일요일,판매일로부터 6개월이내 무상 수리,,02-860-2620,서울특별시 구로구청,2017-04-26,
도봉구재활용센터,직영,서울특별시 도봉구 마들로13길 218,서울특별시 도봉구 창동 181-39,37.659920,127.045390,1594,2001-05,3,"가전, 가구 등",도봉구재활용센터,02-902-8272,최재호,09:00,19:30,10:00,18:30,"일요일 휴무, 자세한 내용은 센터에 문의",,,02-901-5057,서울특별시 도봉구시설관리공단,2017-04-30,
주안사무용가구와중고알뜰센터,위탁,인천광역시 남구 인주대로 427,인천광역시 남구 주안동 1482-10,37.270489,126.410299,319.42,2010.11,1,"가정용 가전·가구, 사무용 가구",주안사무용가구와중고알뜰센터,032-421-4988,권영태,09:00,09:00,09:00,09:00,"2,4째 일요일",구입 후 6개월,gagu4988.com,032-880-4354,인천 남구청 자원순환과,2017-03-14,
강서재활용센터,지정,서울특별시 강서구 화곡로35길 1,서울특별시 강서구 화곡동 111-81,37.545155,126.844155,330,2017-07,1,가전 가구 사무용품 등,강서재활용센터,02-2602-0505,조진환,09:00,19:00,09:00,17:00,문의,,,02-2600-4090,서울특별시 강서구청,2017-02-10,
강서구재활용센터,지정,서울특별시 강서구 방화대로336,서울특별시 강서구 방화동 257-19,37.570964,126.816916,500,2017-02,2,가전 가구 사무용품 등,강서구재활용센터,02-2666-7262,장세창,09:00,19:00,09:00,19:00,문의,,,02-2600-4090,서울특별시 강서구청,2017-02-10,
친환경재활용센터,지정,서울특별시 강서구 강서로134(정원사빌딩1층),서울특별시 강서구 화곡동 404-5,37.539285,126.842447,330,2017-03,1,가전 가구 사무용품 등,친환경재활용센터,02-2697-2449,윤창석,08:00,19:00,09:00,17:00,문의,,relive.co.kr,02-2600-4090,서울특별시 강서구청,2017-02-10,
강서중고재활용센터,지정,서울특별시 강서구 강서로68길23,서울특별시 강서구 등촌동 685,37.566645,126.842261,495,2017-11,1,가전 가구 사무용품 등,강서중고재활용센터,02-3662-8545,원정구,09:00,19:00,09:00,17:00,문의,,recycleshop.kr,02-2600-4090,서울특별시 강서구청,2017-02-10,
광진구재활용센터,위탁,서울특별시 광진구 자양로15길 60,서울특별시 광진구 자양동 612-44,37.535450,127.080445,375.9,1995-06,2,"가전, 가구 등",광진구재활용센터,02-452-8272,이진기,09:00,19:00,09:00,19:00,일요일휴무,판매후 10일이내 하자 시 무료교환/판매후 6개월 무상 수리/6개월이후 유상 수리,,02-450-7624,광진구청,2017-02-09,
노원구재활용센터제1관,위탁,서울특별시 노원구 공릉로58가길 13,서울특별시 노원구 하계동 170-14,37.636081,127.072438,340,1995-06,3,"세탁기, 냉장고, 가구, 신발 등",한국자원순환재활용협회 노원구지회,02-974-7282,이재련,09:00,19:00,09:00,17:00,명절,판매일로부터 6개월이내 무상수리,http://recyclenw.godo.co.kr/shop/main/index.php,02-2116-3810,노원구 자원순환과,2017-06-01,
노원구재활용센터제2관,위탁,서울특별시 노원구 덕릉로 639,서울특별시 노원구 중계동 210-7,37.654692,127.073914,269,2001-11,1,"세탁기, 냉장고, 가구, 신발 등",한국자원순환재활용협회 노원구지회,02-933-8289,이재련,09:00,19:00,09:00,17:00,"명절, 1.3주 토요일",판매일로부터 6개월이내 무상수리,http://recyclenw.godo.co.kr/shop/main/index.php,02-2116-3810,노원구 자원순환과,2017-06-01,
대산매립장 재활용선별시설,직영,전라북도 남원시 대산면 노산하대길 134,전라북도 남원시 대산면 대곡리 311번지 일원,35.413515,127.317624,785.44,2004-01,0,"고철, 파지 등 재활용품 선별",남원시,063-620-6771,남원시장,09:00,18:00,18:00,18:00,공휴일휴무,,,063-620-6771,남원시,2017-05-02,
서초구재활용센터,위탁,서울특별시 서초구 양재대로12길 73-19,서울특별시 서초구 원지동 23,37.4594108,127.0406767,472.87,2017-11,4,"냉장고, 세탁기, TV, 냉난방기, 가구, 소파 등",(사)한국생활자원재활용협회,02-571-7272,유익조,09:00,18:30,09:00,18:30,"매주 일요일, 설 또는 추석명절",판매일로부터 6개월이내 무상 수리,http://www.서초구5717272.com,02-2155-6743,서울특별시 서초구청,2017-02-16,
성북구재활용센터,위탁,서울특별시 성북구 화랑로 148 (상월곡동),서울특별시 성북구 상월곡동 97-21,37.6055044,127.0452115,305,2011-05,2,"가전, 가구 등",㈜한국리싸이클링,02-941-8272,이재호,09:00,19:00,09:00,18:00,"설, 추석",,zungo.co.kr,02-2241-4415,성북구청 청소행정과,2017-05-19,
은평구 재활용센터,위탁,서울특별시 은평구 수색로24길 16,서울특별시 은평구 수색동 293-13,37.592170,126.884250,497,1995-06,2,"가구류,가전제품",사단법인 한국생활자원 재활용 협회 은펴구지회,02-372-8272,김명종,09:00,18:00,00:00,00:00,"명절전일 및 당일 휴무,일요일",구입일로부터 6개월,없음,02-372-8272,서울특별시 은평구청,2017-02-13,
강남구재활용센터,위탁,서울특별시 강남구 개포로 247,서울특별시 강남구 개포동 1259-6 재승빌딩,37.479781,127.046608,660,2008-01,4,가전가구류,강남구재활용센터,02-579-6677,유익조,09:00,19:00,09:00,19:00,격주일요일,판매후6개월,www.kn4989.com,02-3423-6008,강남구청,2017-11-17,
리싸이클세상,위탁,서울특별시 강남구 논현로 115길 7,서울특별시 강남구 논현동 191-6,37.508967,127.032464,781,2008-01,3,가전가구류,(주)리싸이클세상,02-553-1111,박쌍재,09:00,19:00,09:00,19:00,연중무휴,판매후6개월,www.rety.co.kr,02-3423-6008,강남구청,2017-11-17,
송파구재활용센터,위탁,서울특별시 송파구 문정로246 (마천동),서울특별시 송파구 마천동 27,37.5001456,127.1421937,627.75,2017-01,3,"가전제품, 가구 등",새마을운동송파구지회,02-409-9859,박선규,09:00,18:00,09:00,15:00,"매주일요일, 공휴일",판매일로부터 3개월 무상 수리,없음,02-2147-2840,서울특별시 송파구청,2017-11-07,
울주군 재활용품 선별장,직영,울산광역시 울주군 온산읍 화산로 113-11,울산광역시 울주군 화산리 산 176-5,35.419683,129.328817,1432,1994-04,0,"폐합성수지, 종이류, 플라스틱, 고철, 캔류 등",울산광역시 울주군청,052-229-7691,울주군수,09:00,18:00,00:00,00:00,"매주토요일,일요일 및 법정공휴일",,,052-229-7691,울산광역시 울주군청,2017-11-07,
서홍동 재활용 도움센터,직영,제주특별자치도 서귀포시 홍중로 28 (서홍동),제주특별자치도 서귀포시 서홍동 397-33,33.2516021,126.5572355,53.98,2017-11,0,생활쓰레기 배출,제주특별자치도 서귀포시,,,00:00,24:00,00:00,24:00,,,,064-760-3203,서귀포시청,2017-11-27,
성동구 재활용센터,위탁,서울특별시 성동구 천호대로 78길 58,서울특별시 성동구 송정동 78-1,37.554003,127.054205,72,1995-06,1,"가스레인지, 전자레인지, 전기오븐, 전기그릴, 공기청정기, 의자 등",성동구 도시관리공단,02-2204-7992,김종수,09:00,18:00,00:00,00:00,"매주 토요일, 일요일, 공휴일",,,02-2286-5544,서울특별시 성동구청,2017-03-17,
영등포구 재활용센터 제2관,위탁,서울특별시 영등포구 대방천로 207,서울특별시 영등포구 신길동 3937-10,37.498725,126.913851,470,1998-04,1,"가전, 가구류 등",(사)한국자원재생재활용연합회,02-836-7289,이재구,09:00,19:00,09:00,18:00,"연중무휴(설, 추석 제외)","가전제품 6개월 무상 A/S (단, 소비자 사용 부주의시 제외)",http://zungo.co.kr/d_sub_frame.php,02-2670-3486,영등포구청 청소과,2017-05-01,
영등포구 재활용센터 제1관,위탁,서울특별시 영등포구 당산로 29길  9,서울특별시 영등포구 당산동 3가  447,37.525939,126.893968,707.3,1995-09,3,"가전, 가구류 등",(사)한국자원재생재활용연합회,02-2675-7289,이재구,09:00,19:00,09:00,18:00,"연중무휴(설, 추석 제외)","가전제품 6개월 무상 A/S (단, 소비자 사용 부주의시 제외)",http://www.jgmarket.co.kr/shop/main/index.php,02-2670-3486,영등포구청 청소과,2017-05-01,
중구재활용센터,위탁,서울특별시 중구 다산로 174,서울특별시 중구 청구동 330-17,37.559129,127.013363,390,1997-05,2,"가전, 가구, 컴퓨터, 의류, 도서 등",중구/동대문구 재활용센터,02-2233-7289,이재구,09:00,19:00,09:00,18:00,공휴일,판매일로부터 3개월이내 무상 수리,www.remarketc.co.kr,02-3396-5462,서울특별시 중구청,2017-05-18,
관악구 재활용센터,위탁,서울특별시 관악구 남부순환로 1427,서울특별시 관악구 신림동 564-4,37.4811315,126.9071753,576.2,2012-03,2,가전제품+가전류,관악구 재활용센터,02-886-9113,이재호,09:00,19:00,09:00,18:00,설+추석연휴,가전제품 6개월 A/S,http://www.jungo.co.kr/south/ka2_center1_1.php,02-879-6213,서울특별시 관악구청,2017-10-31,
서부재활용센터,위탁,서울특별시 양천구 신월로 134,서울특별시 양천구 신월6동 1001-2,37.516774,126.838818,3424,2010-05,2,"책장, 장롱,소파,냉장고,TV",서부재활용센터,02-2605-0028,최진홍,09:00,19:00,00:00,00:00,"토 일요일, 공휴일",가능,,02-2620-3436,서울특별시 양천구청,2017-04-20,
목동재활용센터,위탁,서울특별시 양천구 목동서로 262,서울특별시 양천구 목1동 408-78,37.528054,126.858826,1096,1995-01,3,"책장, 장롱,소파,냉장고,TV",목동재활용센터,02-2651-2582,박철순,09:00,19:00,09:00,19:00,일요일,가능,www.ycrc.co.kr,02-2620-3436,서울특별시 양천구청,2017-04-20,
차차차 중고가전가구마트,위탁,인천광역시 남구 경인로 108,인천광역시 남구 숭의동 67-6,37.275739,126.391652,192.4,2012.11,1,"가정용 가전·가구, 사무용 가구",차차차중고가전가구,032-885-2232,차순재,09:30,20:00,13:00,18:00,-,3~6개월(제품마다 상이),없음,032-880-4354,인천 남구청 자원순환과,2017-03-14,
북도면 신도리 재활용 선별장,직영,인천광역시 옹진군 북도면 시도로86번길 78,인천광역시 옹진군 북도면 시도리 277-31,37.534187,126.427464,321,2007-04,4,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 북도면,032-899-3410,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
북도면 장봉리 재활용 선별장,직영,인천광역시 옹진군 북도면 장봉로 678,인천광역시 옹진군 북도면 장봉리 546-2,37.544415,126.333368,336,2008-11,1,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 북도면,032-899-3410,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
연평면 대연평 재활용 선별장,직영,인천광역시 옹진군 연평면 연평로 746-46,인천광역시 옹진군 연평면 연평리 505-1,37.652816,125.694100,309,2007-04,3,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 연평면,032-899-3490,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
연평면 소연평 재활용 선별장,직영,인천광역시 옹진군 연평면 소연평로 161-94,인천광역시 옹진군 연평면 연평리 931-4,37.613773,125.723040,150,2006-11,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 연평면,032-899-3490,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
백령면 재활용 선별장,직영,인천광역시 옹진군 백령면 백령남로72번길 356,인천광역시 옹진군 백령면 진촌리 2376,37.957594,124.700340,645.5,2008-10,6,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 백령면,032-899-3420,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
대청면 대청 재활용 선별장,직영,인천광역시 옹진군 대청면 대청북로 53,인천광역시 옹진군 대청면 대청리 산16-26,37.839331,124.709386,415,2009-07,2,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 대청면,032-899-3610,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
연수구 재활용센터,직영,인천광역시 연수구 비류대로 226,인천광역시 연수구 옥련동 314-1,37.427093,126.659648,240.8,1996-03,1,"가전제품,가구류,인테리어소품",연수클린리사이클센터,032-834-8272,천선혜,09:00,20:00,09:00,18:00,,,http://www.ysrec.or.k,032-749-7864,연수구청,2017-04-24,
대청면 소청 재활용 선별장,직영,인천광역시 옹진군 대청면 소청동로 159,인천광역시 옹진군 대청면 소청리 58,37.772815,124.763501,115.9,2011-10,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 대청면,032-899-3409,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
덕적면 덕적 재활용 선별장,직영,인천광역시 덕적면 덕적남로 771번길 103,인천광역시 옹진군 덕적면 서포리 615,37.230605,126.106520,613,2007-04,6,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
덕적면 문갑 재활용 선별장,직영,인천광역시 옹진군 덕적면 문갑로 61,인천광역시 옹진군 덕적면 문갑리 74-18,37.172649,126.107316,96.05,2009-06,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
덕적면 백아 재활용 선별장,직영,인천광역시 옹진군 덕적면 백아리 149-6,인천광역시 옹진군 덕적면 백아리 149-6,37.077033,125.943924,59.5,2009-06,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
자월면 자월 재활용 선별장,직영,인천광역시 옹진군 자월면 자월서로 78,인천광역시 옹진군 자월면 자월리 416-5,37.250145,126.315143,471,2007-04,3,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 자월면,032-899-3750,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
자월면 대이작 재활용 선별장,직영,인천광역시 옹진군 자월면 대이작로 159번길 127,인천광역시 옹진군 자월면 이작리 394-3,37.175294,126.265024,1351,2012-11,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 자월면,032-899-3750,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
자월면 승봉 재활용 선별장,직영,인천광역시 옹진군 자월면 승봉로29번길 100-13,인천광역시 옹진군 자월면 승봉리 771-3,37.173253,126.296266,128.5,2013-03,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 자월면,032-899-3750,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
영흥면 재활용 선별장,직영,인천광역시 옹진군 영흥면 영흥남로110번길 116,인천광역시 옹진군 영흥면 외리 81-2,37.249968,126.466704,312,2009-01,4,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 영흥면,032-899-3820,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
덕적면 울도 재활용 선별장,직영,인천광역시 옹진군 덕적면 울도로 182번길 8-1,인천광역시 옹진군 덕적면 울도리 산42-1,37.026609,125.997151,69,2009-06,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-05-23,
북도면 신도리 재활용 선별장,직영,인천광역시 옹진군 북도면 시도로86번길 78,인천광역시 옹진군 북도면 시도리 277-31,37.534187,126.427464,321,2007-04,4,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 북도면,032-899-3410,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
북도면 장봉리 재활용 선별장,직영,인천광역시 옹진군 북도면 장봉로 678,인천광역시 옹진군 북도면 장봉리 546-2,37.544415,126.333368,336,2008-11,1,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 북도면,032-899-3410,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
연평면 대연평 재활용 선별장,직영,인천광역시 옹진군 연평면 연평로 746-46,인천광역시 옹진군 연평면 연평리 505-1,37.652816,125.6940794,309,2007-04,3,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 연평면,032-899-3490,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
연평면 소연평 재활용 선별장,직영,인천광역시 옹진군 연평면 소연평로 161-94,인천광역시 옹진군 연평면 연평리 931-4,37.613773,125.7230684,150,2006-11,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 연평면,032-899-3490,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
백령면 재활용 선별장,직영,인천광역시 옹진군 백령면 백령남로72번길 356,인천광역시 옹진군 백령면 진촌리 2376,37.957594,124.6996178,645.5,2008-10,6,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 백령면,032-899-3420,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
대청면 대청 재활용 선별장,직영,인천광역시 옹진군 대청면 대청북로 53,인천광역시 옹진군 대청면 대청리 산16-26,37.839331,124.709386,415,2009-07,2,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 대청면,032-899-3610,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
대청면 소청 재활용 선별장,직영,인천광역시 옹진군 대청면 소청동로 159,인천광역시 옹진군 대청면 소청리 58,37.772815,124.763501,115.9,2013-10,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 대청면,032-899-3409,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
덕적면 덕적 재활용 선별장,직영,인천광역시 덕적면 덕적남로 771번길 103,인천광역시 옹진군 덕적면 서포리 615,37.230605,126.1065862,613,2007-04,6,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
덕적면 문갑 재활용 선별장,직영,인천광역시 옹진군 덕적면 문갑로 61,인천광역시 옹진군 덕적면 문갑리 74-18,37.172649,126.107316,96.05,2009-06,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
덕적면 백아 재활용 선별장,직영,인천광역시 옹진군 덕적면 백아리 149-6,인천광역시 옹진군 덕적면 백아리 149-6,37.077033,125.943924,59.5,2009-06,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
덕적면 울도 재활용 선별장,직영,인천광역시 옹진군 덕적면 울도로 182번길 8-1,인천광역시 옹진군 덕적면 울도리 산42-1,37.026609,125.997151,69,2009-06,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 덕적면,032-899-3740,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
자월면 자월 재활용 선별장,직영,인천광역시 자월면 자월서로 78,인천광역시 옹진군 자월면 자월리 416-5,37.250145,126.315143,471,2007-04,3,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 자월면,032-899-3750,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
자월면 대이작 재활용 선별장,직영,인천광역시 옹진군 자월면 대이작로 159번길 127,인천광역시 옹진군 자월면 이작리 394-3,37.175294,126.265024,1351,2012-11,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 자월면,032-899-3750,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
자월면 승봉 재활용 선별장,직영,인천광역시 옹진군 자월면 승봉로29번길 100-13,인천광역시 옹진군 자월면 승봉리 771-3,37.173253,126.296266,128.5,2013-03,0,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 자월면,032-899-3750,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
영흥면 재활용 선별장,직영,인천광역시 옹진군 영흥면 영흥남로110번길 116,인천광역시 옹진군 영흥면 외리 81-2,37.249968,126.466704,312,2009-01,4,"재활용품(종이류,고철류,캔류,병류,플라스틱류,필름류,스티로폼류 등)",옹진군청 영흥면,032-899-3820,조윤길,09:00,18:00,09:00,13:00,일요일,,,032-899-2620,옹진군,2017-11-01,
고흥자원재활용센터,직영,전라남도 고흥군 고흥읍 봉계2길 142,전라남도 고흥군 고흥읍 남계리 786-5,34.597277,127.290166,3452,2014-01,17,생활폐기물,고흥군,061-830-5304,고흥군수,08:00,17:00,08:00,12:00,"신정, 설날, 근로자의날, 일요일",,,061-830-5304,고흥군,2017-05-17,
